Title,ReviewText,Rating,SubmissionTime,UserNickname,ProductId,itemName
,"Microwave oven seems to be a great product so far. Cooks well, and connects to the WiFi and app easily. The vent settings work well, and high has plenty of power. The light for the oven underneath does a decent job, but I do wish it could have a brighter setting.",4,2025-01-15T23:07:24.000+00:00,HomeDepotCustomer,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Cool options,[This review was collected as part of a promotion.] Bought to replace one that stopped working. Very happy with this new one. Works great. Cool options for cooking.,5,2025-01-13T01:27:59.000+00:00,Dave9669,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
This is a great microwave,"I’m very happy with this microwave. Has great features, and nice chimes for timer and end of cooking.",5,2025-01-06T23:52:18.000+00:00,Pbarbee60,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Cooks fast!,"Cooks with such speed! Only wish the lighting was brighter and LED. But since I never had a light over the range, I can't complain.",5,2025-01-05T21:34:09.000+00:00,Douglas16,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Keypad,"Overall good microwave, purchased a couple of weeks ago.  Only issue that we see is that the keypad is dark and not backlit which would be very helpful.  Otherwise, it's great.",4,2025-01-02T22:25:23.000+00:00,EricW14,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Terrible product,Fire whoever designed this microwave. This is the 3rd one.,1,2024-12-09T18:13:28.000+00:00,Microwave stinky,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
"So far, so good!",Love the express buttons!  Bought because it has a 10 year warranty on the magnetron.,5,2024-12-07T18:58:26.000+00:00,JCF10,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Great addition to my Kitchen,[This review was collected as part of a promotion.] I bought this earlier this month and love it.  I like it's sleek look and how fast it heats and the easy to read display.,5,2024-11-28T12:36:56.000+00:00,Mama Deb,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Great Look,"[This review was collected as part of a promotion.] I did buy the microwave about a month ago. I didn't think I really needed it. I was doing fine since my stopped working -- I thought. 
Amazingly I like the microwave so much. I am finding it easy to use and so easy to clean.",5,2024-11-27T22:25:32.000+00:00,Mreen,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Do. Not. Buy.,This is an awful microwave. Example of when we tried to melt butter !! Butter! Did not melt the butter but broke our dish!,1,2024-11-24T01:32:23.000+00:00,NewIsNotBetter,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Happy with Microwave,"I am so happy with my new microwave. Though I had gotten along well without it my lfe is so much easier with it.
It has a sleek look and works so much better than my older model.",5,2024-10-28T21:03:20.000+00:00,Mreen,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Upgraded controls,"[This review was collected as part of a promotion.] Purchased to replace a 12 yr old LG and am pleased with the position of the controls, I can see inside now as the food is cooking. Our previous LG had the controls at the bottom of the window blocking the view.",4,2024-10-13T20:40:56.000+00:00,Cray49,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Love the Sensor,[This review was collected as part of a promotion.],5,2024-10-10T18:03:21.000+00:00,M311,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Great looks and performance,[This review was collected as part of a promotion.] I am enjoying my 1.8 ft.³ above range LG microwave so far it is heating up leftovers very well and is much more quiet than my previous microwave model as a bonus when the food is ready there is a fun time that sounds,5,2024-10-05T18:11:55.000+00:00,Berngmail,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Beautiful microwave,"[This review was collected as part of a promotion.] Looks good and functional. It make less or no noise. Being smart, I used to get notifications on my mobile via LG App which is very convenient",4,2024-10-04T19:27:31.000+00:00,Ankush517,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Expected more,[This review was collected as part of a promotion.] We have had this less than a year and already segments of the time display doesn't fully display.,1,2024-09-29T00:35:44.000+00:00,Doug123456789,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
Good,"[This review was collected as part of a promotion.] So far so good, nice looking, and is very easy to use.",4,2024-08-30T18:45:50.000+00:00,Gus01,321666159,LG 1.8 cu. ft. 30 in. W Smart Over the Range Microwave Oven with EasyClean in PrintProof Stainless Steel 1000-Watt MVEM1825F - The Home Depot
